,NAME,WHITE_POP,BLACK_POP,HISPANIC_POP,ASIAN_POP,TOTAL_POP,HOUSING_UNITS,POP_UNDER_5,POP_5_9,POP_10_14,POP_15_19,state,county
418,"Yadkin County, North Carolina",91.6,3.8,37665,0.1,37665,17401,1980,2259,2279,2344,37,197
419,"Avery County, North Carolina",91.5,4.5,17501,0.9,17501,14166,643,649,861,1069,37,011
420,"Burke County, North Carolina",84.7,6.5,89712,3.6,89712,41092,4274,4576,5091,6188,37,023
421,"Caswell County, North Carolina",63.2,33.0,22746,0.7,22746,10778,1058,1108,1368,1231,37,033
422,"Davie County, North Carolina",89.3,5.5,41991,0.7,41991,18582,1981,2512,2756,2672,37,059
423,"Duplin County, North Carolina",70.6,24.5,59062,0.3,59062,25876,3721,4119,4043,3756,37,061
424,"Durham County, North Carolina",51.4,37.0,306457,4.9,306457,133429,20531,18479,16850,19539,37,063
425,"Lee County, North Carolina",73.4,19.8,60125,1.1,60125,24463,3881,4132,4338,4003,37,105
426,"New Hanover County, North Carolina",81.0,14.0,224231,1.3,224231,109244,11314,11783,12072,14804,37,129
427,"Wayne County, North Carolina",62.5,30.5,124002,1.3,124002,54074,8338,7884,8491,7953,37,191
428,"Scotland County, North Carolina",44.4,39.0,35262,0.8,35262,15295,2202,2438,2263,2243,37,165
429,"Halifax County, North Carolina",40.1,52.9,51737,0.8,51737,25919,2722,3131,3378,3124,37,083
430,"Alamance County, North Carolina",70.2,19.1,160576,1.6,160576,69749,9347,10049,10372,12388,37,001
431,"Burke County, North Dakota",94.8,0.6,2213,0.0,2213,1337,220,196,198,89,38,013
432,"Mountrail County, North Dakota",65.7,1.2,10152,0.5,10152,4999,824,824,617,732,38,061
433,"Williams County, North Dakota",83.1,3.6,34061,0.6,34061,18726,2951,2679,2240,2073,38,105
434,"Billings County, North Dakota",92.3,1.2,946,0.0,946,532,89,77,32,32,38,007
435,"Kidder County, North Dakota",97.2,0.4,2460,0.2,2460,1667,149,119,140,189,38,043
436,"Cavalier County, North Dakota",95.1,0.1,3824,0.0,3824,2299,261,200,224,149,38,019
437,"Grant County, North Dakota",98.0,0.0,2380,0.3,2380,1704,140,126,118,143,38,037
438,"Pembina County, North Dakota",93.8,0.3,7016,0.4,7016,3871,385,416,414,368,38,067
439,"Steele County, North Dakota",99.4,0.6,1910,0.0,1910,1215,86,83,158,80,38,091
440,"Hettinger County, North Dakota",92.2,0.3,2576,0.0,2576,1469,159,188,139,96,38,041
441,"LaMoure County, North Dakota",97.0,0.5,4100,0.0,4100,2232,186,241,292,207,38,045
442,"Morton County, North Dakota",92.0,0.5,30544,0.5,30544,14719,1903,2042,1859,1575,38,059
443,"Cass County, North Dakota",87.5,5.1,174202,3.1,174202,80107,12407,11517,9380,11416,38,017
